Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-August-2022,19584.45,19650.00,19436.65,19535.70,19558.732572877059569074,1578,672,30863680.00,719,45.56,213.35,-48.75
25-August-2022,19672.80,19787.95,19480.00,19549.70,19671.086567164179104477,1005,514,19769442.00,478,47.56,307.95,-123.10
24-August-2022,19550.00,19702.75,19361.00,19672.80,19517.202883625128733264,1942,418,37902408.00,644,33.16,341.75,122.80
23-August-2022,19250.00,19689.30,19250.00,19598.45,19569.560267857142857142,2240,1064,43835815.00,1329,59.33,439.30,348.45
22-August-2022,19350.05,19624.75,19350.05,19454.65,19478.141091658084449021,971,438,18913275.00,333,34.29,274.70,104.60
19-August-2022,19380.20,19650.00,19350.00,19438.00,19462.752000000000000000,2125,758,41358348.00,1395,65.65,300.00,57.80
18-August-2022,19651.00,19719.15,19491.00,19566.90,19565.961848862802641232,1363,477,26668406.00,839,61.56,228.15,-84.10
17-August-2022,19655.00,19825.00,19655.00,19729.40,19733.984166254329539831,2021,804,39882382.00,1046,51.76,170.00,74.40
16-August-2022,19526.60,19850.00,19526.60,19697.15,19726.530906011854360711,1181,333,23297033.00,469,39.71,323.40,170.55
12-August-2022,19787.20,19787.20,19422.00,19526.70,19522.452093397745571658,2484,807,48493771.00,765,30.80,365.20,-260.50
11-August-2022,19850.00,19957.35,19637.00,19688.45,19745.477517985611510791,1112,359,21956971.00,438,39.39,320.35,-161.55
10-August-2022,19770.00,20109.00,19506.40,19765.20,19780.221512770137524557,2036,647,40272531.00,689,33.84,602.60,-4.80
8-August-2022,19851.20,19976.40,19534.75,19696.85,19736.607899461400359066,2785,973,54966453.00,1318,47.32,441.65,-154.35
5-August-2022,19850.00,20016.65,19738.20,19926.10,19868.919398907103825136,1464,586,29088098.00,836,57.10,278.45,76.10
4-August-2022,19400.00,19908.00,19390.00,19842.35,19671.660471204188481675,3820,1629,75145743.00,2679,70.13,518.00,442.35
3-August-2022,19215.70,19525.85,19200.00,19370.90,19343.149025803054239073,1899,787,36732640.00,706,37.18,325.85,155.20
2-August-2022,19350.50,19500.00,19298.00,19466.00,19406.931381806735914384,3177,1278,61655821.00,1673,52.66,202.00,115.50
1-August-2022,19409.90,19497.10,19120.40,19257.90,19354.870435385876763302,47567,632,920653122.00,45976,96.66,376.70,-152.00
29-July-2022,19015.00,19417.00,19003.85,19352.40,19214.043285784554845056,2033,875,39062150.00,728,35.81,413.15,337.40
28-July-2022,18625.00,19330.85,18460.00,19104.45,18962.905947441217150760,7230,2949,137101810.00,3158,43.68,870.85,479.45
27-July-2022,18520.45,18655.70,18348.85,18544.65,18528.563085399449035812,1815,967,33629342.00,784,43.20,306.85,24.20
26-July-2022,18762.50,18816.65,18260.40,18510.70,18412.597262247838616714,1388,592,25556685.00,503,36.24,556.25,-251.80
25-July-2022,18979.50,19007.20,18711.20,18753.80,18805.977496483825597749,711,360,13371050.00,286,40.22,296.00,-225.70
22-July-2022,18880.00,19087.85,18829.50,18982.70,18953.903033088235294117,2176,961,41243693.00,1130,51.93,258.35,102.70
21-July-2022,18602.00,18895.80,18602.00,18840.30,18732.027184466019417475,1545,508,28940982.00,826,53.46,293.80,238.30
20-July-2022,18598.00,18650.00,18270.20,18608.45,18547.662079040442872520,13006,1247,241230893.00,11300,86.88,379.80,10.45
19-July-2022,18562.70,18639.60,18233.40,18382.00,18382.328387734915924826,1011,437,18584534.00,404,39.96,406.20,-180.70
18-July-2022,18849.00,18970.25,18561.70,18619.35,18770.829717841433322604,46605,407,874814519.00,46072,98.86,408.55,-229.65
15-July-2022,18370.00,18818.70,18368.00,18752.30,18647.895892129194104735,3189,1261,59468140.00,2049,64.25,450.70,382.30
14-July-2022,18191.05,18430.00,18000.05,18369.70,18346.454708520179372197,1115,648,20456297.00,730,65.47,429.95,178.65
13-July-2022,18172.45,18320.00,18172.45,18256.45,18261.350684931506849315,365,179,6665393.00,165,45.21,147.55,84.00
12-July-2022,18467.80,18467.80,18100.00,18124.10,18247.897029702970297029,505,262,9215188.00,308,60.99,367.80,-343.70
