Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-March-2022,1975.00,1994.95,1975.00,1988.25,1985.937861842105263157,91200,8393,181117533.00,57192,62.71,19.95,13.25
28-March-2022,1954.00,1981.00,1931.00,1973.70,1951.288657049099126989,161510,16781,315152631.00,79922,49.48,50.00,19.70
25-March-2022,1975.00,1977.45,1945.25,1954.05,1956.445591495651185265,87955,6517,172079172.00,56960,64.76,32.20,-20.95
24-March-2022,1965.00,1991.25,1950.00,1964.00,1971.398820300181043041,119861,17704,236293834.00,71343,59.52,41.25,-1.00
23-March-2022,2005.00,2017.00,1976.00,1978.75,1989.812003901127873931,214297,22123,426410743.00,133565,62.33,41.00,-26.25
22-March-2022,2055.00,2055.05,1969.25,1993.80,1989.261162678782781359,230657,34910,458837012.00,138984,60.26,85.80,-61.20
21-March-2022,2105.00,2109.30,2048.00,2051.45,2066.217037349608390025,97163,13805,200759846.00,49962,51.42,61.30,-53.55
17-March-2022,2090.00,2116.00,2081.80,2102.10,2097.139046756481376655,44165,3582,92620146.00,15842,35.87,34.20,12.10
16-March-2022,2075.05,2079.95,2032.35,2069.45,2047.971849074050291526,38933,3501,79733688.00,12463,32.01,47.60,-5.60
15-March-2022,2050.00,2081.60,2025.00,2038.05,2052.421446384039900249,76190,10118,156373990.00,33276,43.68,56.60,-11.95
14-March-2022,2094.00,2094.00,2046.55,2060.10,2061.194589017751043230,108557,13031,223757101.00,59437,54.75,47.45,-33.90
